,Reaction Mix,Target,Sample/NTC/Control,Type,Concentration (copies/µL),CI (95%),Partitions (valid),Partitions (positive),Partitions (negative),Gene,Allele,Organ,Mouse
0,psapsgpl,psap snp,spl epb02,Sample,108.7,11.4%,8228,288,7940,psap,snp,spl,epb02
1,psapsgpl,psap wt,spl epb02,Sample,81.6,13.2%,8223,217,8006,psap,wt,spl,epb02
2,psapsgpl,sgpl snp,spl epb02,Sample,2.2,86%,8222,6,8216,sgpl,snp,spl,epb02
3,psapsgpl,sgpl wt,spl epb02,Sample,2.2,86%,8228,6,8222,sgpl,wt,spl,epb02
4,psapsgpl,psap snp,spl epb03,Sample,116.7,11.2%,8247,304,7943,psap,snp,spl,epb03
5,psapsgpl,psap wt,spl epb03,Sample,90.6,12.7%,8244,237,8007,psap,wt,spl,epb03
6,psapsgpl,sgpl snp,spl epb03,Sample,4.9,56.3%,8245,13,8232,sgpl,snp,spl,epb03
7,psapsgpl,sgpl wt,spl epb03,Sample,6.0,50.4%,8246,16,8230,sgpl,wt,spl,epb03
8,psapsgpl,psap snp,spl epb04,Sample,148.3,9.9%,8243,383,7860,psap,snp,spl,epb04
9,psapsgpl,psap wt,spl epb04,Sample,129.8,10.6%,8241,336,7905,psap,wt,spl,epb04
10,psapsgpl,sgpl snp,spl epb04,Sample,3.8,64.8%,8237,10,8227,sgpl,snp,spl,epb04
11,psapsgpl,sgpl wt,spl epb04,Sample,6.8,47.4%,8243,18,8225,sgpl,wt,spl,epb04
12,psapsgpl,psap snp,spl epb05,Sample,64.3,15.1%,8233,168,8065,psap,snp,spl,epb05
13,psapsgpl,psap wt,spl epb05,Sample,55.0,16.3%,8232,144,8088,psap,wt,spl,epb05
14,psapsgpl,sgpl snp,spl epb05,Sample,2.3,86.3%,8229,6,8223,sgpl,snp,spl,epb05
15,psapsgpl,sgpl wt,spl epb05,Sample,3.8,65%,8234,10,8224,sgpl,wt,spl,epb05
16,psapsgpl,psap snp,spl epb06,Sample,77.8,13.7%,8236,203,8033,psap,snp,spl,epb06
17,psapsgpl,psap wt,spl epb06,Sample,48.1,17.5%,8237,126,8111,psap,wt,spl,epb06
18,psapsgpl,sgpl snp,spl epb06,Sample,1.1,130.1%,8236,3,8233,sgpl,snp,spl,epb06
19,psapsgpl,sgpl wt,spl epb06,Sample,4.2,61.7%,8235,11,8224,sgpl,wt,spl,epb06
20,psapsgpl,psap snp,spl unc02,Sample,158.8,9.5%,8246,411,7835,psap,snp,spl,unc02
21,psapsgpl,psap wt,spl unc02,Sample,116.3,11.2%,8244,303,7941,psap,wt,spl,unc02
22,psapsgpl,sgpl snp,spl unc02,Sample,8.7,41.6%,8244,23,8221,sgpl,snp,spl,unc02
23,psapsgpl,sgpl wt,spl unc02,Sample,6.8,47.3%,8246,18,8228,sgpl,wt,spl,unc02
24,psapsgpl,psap snp,spl unc03,Sample,85.2,13.2%,8234,218,8016,psap,snp,spl,unc03
25,psapsgpl,psap wt,spl unc03,Sample,66.6,14.9%,8233,171,8062,psap,wt,spl,unc03
26,psapsgpl,sgpl snp,spl unc03,Sample,5.4,54%,8234,14,8220,sgpl,snp,spl,unc03
27,psapsgpl,sgpl wt,spl unc03,Sample,8.5,42.6%,8232,22,8210,sgpl,wt,spl,unc03
28,psapsgpl,psap snp,spl unc04,Sample,101.9,12%,8180,265,7915,psap,snp,spl,unc04
29,psapsgpl,psap wt,spl unc04,Sample,102.7,11.9%,8177,267,7910,psap,wt,spl,unc04
30,psapsgpl,sgpl snp,spl unc04,Sample,3.4,68.8%,8160,9,8151,sgpl,snp,spl,unc04
31,psapsgpl,sgpl wt,spl unc04,Sample,3.4,68.8%,8178,9,8169,sgpl,wt,spl,unc04
32,psapsgpl,psap snp,spl unc05,Sample,147.9,9.9%,8238,383,7855,psap,snp,spl,unc05
33,psapsgpl,psap wt,spl unc05,Sample,120.4,11%,8233,313,7920,psap,wt,spl,unc05
34,psapsgpl,sgpl snp,spl unc05,Sample,4.9,56.3%,8236,13,8223,sgpl,snp,spl,unc05
35,psapsgpl,sgpl wt,spl unc05,Sample,3.0,73.4%,8239,8,8231,sgpl,wt,spl,unc05
36,psapsgpl,psap snp,spl unc06,Sample,110.7,11.5%,8224,287,7937,psap,snp,spl,unc06
37,psapsgpl,psap wt,spl unc06,Sample,96.2,12.3%,8224,250,7974,psap,wt,spl,unc06
38,psapsgpl,sgpl snp,spl unc06,Sample,3.4,68.7%,8221,9,8212,sgpl,snp,spl,unc06
39,psapsgpl,sgpl wt,spl unc06,Sample,4.9,56.3%,8224,13,8211,sgpl,wt,spl,unc06
40,psapsgpl,psap snp,spl unc07,Sample,118.7,11%,8235,311,7924,psap,snp,spl,unc07
41,psapsgpl,psap wt,spl unc07,Sample,91.2,12.6%,8232,240,7992,psap,wt,spl,unc07
42,psapsgpl,sgpl snp,spl unc07,Sample,2.2,86%,8231,6,8225,sgpl,snp,spl,unc07
43,psapsgpl,sgpl wt,spl unc07,Sample,3.4,68.6%,8235,9,8226,sgpl,wt,spl,unc07
44,psapsgpl,psap snp,spl unc08,Sample,156.5,9.8%,7811,388,7423,psap,snp,spl,unc08
45,psapsgpl,psap wt,spl unc08,Sample,117.9,11.4%,7808,294,7514,psap,wt,spl,unc08
46,psapsgpl,sgpl snp,spl unc08,Sample,2.8,79.1%,7806,7,7799,sgpl,snp,spl,unc08
47,psapsgpl,sgpl wt,spl unc08,Sample,4.3,61.7%,7810,11,7799,sgpl,wt,spl,unc08
48,psapsgpl,psap snp,spl epb02,Sample,98.9,12.1%,8260,258,8002,psap,snp,spl,epb02
49,psapsgpl,psap wt,spl epb02,Sample,85.3,13.1%,8257,223,8034,psap,wt,spl,epb02
50,psapsgpl,sgpl snp,spl epb02,Sample,3.4,68.8%,8260,9,8251,sgpl,snp,spl,epb02
51,psapsgpl,sgpl wt,spl epb02,Sample,4.5,58.8%,8260,12,8248,sgpl,wt,spl,epb02
52,psapsgpl,psap snp,spl epb03,Sample,107.1,11.7%,8263,278,7985,psap,snp,spl,epb03
53,psapsgpl,psap wt,spl epb03,Sample,83.7,13.2%,8259,218,8041,psap,wt,spl,epb03
54,psapsgpl,sgpl snp,spl epb03,Sample,4.5,58.8%,8259,12,8247,sgpl,snp,spl,epb03
55,psapsgpl,sgpl wt,spl epb03,Sample,4.9,56.4%,8263,13,8250,sgpl,wt,spl,epb03
56,psapsgpl,psap snp,spl epb04,Sample,148.1,10%,8269,374,7895,psap,snp,spl,epb04
57,psapsgpl,psap wt,spl epb04,Sample,125.9,10.9%,8266,319,7947,psap,wt,spl,epb04
58,psapsgpl,sgpl snp,spl epb04,Sample,5.8,52.1%,8258,15,8243,sgpl,snp,spl,epb04
59,psapsgpl,sgpl wt,spl epb04,Sample,9.7,39.9%,8266,25,8241,sgpl,wt,spl,epb04
60,psapsgpl,psap snp,spl epb05,Sample,63.9,15.3%,8272,163,8109,psap,snp,spl,epb05
61,psapsgpl,psap wt,spl epb05,Sample,49.3,17.5%,8270,126,8144,psap,wt,spl,epb05
62,psapsgpl,sgpl snp,spl epb05,Sample,5.1,56.4%,8272,13,8259,sgpl,snp,spl,epb05
63,psapsgpl,sgpl wt,spl epb05,Sample,2.7,79.1%,8273,7,8266,sgpl,wt,spl,epb05
64,psapsgpl,psap snp,spl epb06,Sample,72.0,14.5%,8269,182,8087,psap,snp,spl,epb06
65,psapsgpl,psap wt,spl epb06,Sample,52.1,17%,8269,132,8137,psap,wt,spl,epb06
66,psapsgpl,sgpl snp,spl epb06,Sample,2.0,95.6%,8269,5,8264,sgpl,snp,spl,epb06
67,psapsgpl,sgpl wt,spl epb06,Sample,4.7,58.7%,8269,12,8257,sgpl,wt,spl,epb06
68,psapsgpl,psap snp,spl unc02,Sample,170.4,9.4%,8255,425,7830,psap,snp,spl,unc02
69,psapsgpl,psap wt,spl unc02,Sample,124.2,11%,8254,312,7942,psap,wt,spl,unc02
70,psapsgpl,sgpl snp,spl unc02,Sample,7.4,46.1%,8250,19,8231,sgpl,snp,spl,unc02
71,psapsgpl,sgpl wt,spl unc02,Sample,5.9,52.2%,8250,15,8235,sgpl,wt,spl,unc02
72,psapsgpl,psap snp,spl unc03,Sample,67.3,15%,8241,171,8070,psap,snp,spl,unc03
73,psapsgpl,psap wt,spl unc03,Sample,54.2,16.7%,8242,138,8104,psap,wt,spl,unc03
74,psapsgpl,sgpl snp,spl unc03,Sample,2.7,79.1%,8239,7,8232,sgpl,snp,spl,unc03
75,psapsgpl,sgpl wt,spl unc03,Sample,1.9,95.9%,8242,5,8237,sgpl,wt,spl,unc03
76,psapsgpl,psap snp,spl unc04,Sample,114.7,11.5%,8249,284,7965,psap,snp,spl,unc04
77,psapsgpl,psap wt,spl unc04,Sample,97.1,12.5%,8245,241,8004,psap,wt,spl,unc04
