sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"A1","psapsgpl","psap snp","spl epb02","Sample","108.7","11.4%","8228","288","7940","-"
"A1","psapsgpl","psap wt","spl epb02","Sample","81.6","13.2%","8223","217","8006","-"
"A1","psapsgpl","sgpl snp","spl epb02","Sample","2.2","86%","8222","6","8216","-"
"A1","psapsgpl","sgpl wt","spl epb02","Sample","2.2","86%","8228","6","8222","-"
"A2","psapsgpl","psap snp","spl epb03","Sample","116.7","11.2%","8247","304","7943","-"
"A2","psapsgpl","psap wt","spl epb03","Sample","90.6","12.7%","8244","237","8007","-"
"A2","psapsgpl","sgpl snp","spl epb03","Sample","4.9","56.3%","8245","13","8232","-"
"A2","psapsgpl","sgpl wt","spl epb03","Sample","6.0","50.4%","8246","16","8230","-"
"A3","psapsgpl","psap snp","spl epb04","Sample","148.3","9.9%","8243","383","7860","-"
"A3","psapsgpl","psap wt","spl epb04","Sample","129.8","10.6%","8241","336","7905","-"
"A3","psapsgpl","sgpl snp","spl epb04","Sample","3.8","64.8%","8237","10","8227","-"
"A3","psapsgpl","sgpl wt","spl epb04","Sample","6.8","47.4%","8243","18","8225","-"
"A4","psapsgpl","psap snp","spl epb05","Sample","64.3","15.1%","8233","168","8065","-"
"A4","psapsgpl","psap wt","spl epb05","Sample","55.0","16.3%","8232","144","8088","-"
"A4","psapsgpl","sgpl snp","spl epb05","Sample","2.3","86.3%","8229","6","8223","-"
"A4","psapsgpl","sgpl wt","spl epb05","Sample","3.8","65%","8234","10","8224","-"
"A5","psapsgpl","psap snp","spl epb06","Sample","77.8","13.7%","8236","203","8033","-"
"A5","psapsgpl","psap wt","spl epb06","Sample","48.1","17.5%","8237","126","8111","-"
"A5","psapsgpl","sgpl snp","spl epb06","Sample","1.1","130.1%","8236","3","8233","-"
"A5","psapsgpl","sgpl wt","spl epb06","Sample","4.2","61.7%","8235","11","8224","-"
"A6","psapsgpl","psap snp","spl unc02","Sample","158.8","9.5%","8246","411","7835","-"
"A6","psapsgpl","psap wt","spl unc02","Sample","116.3","11.2%","8244","303","7941","-"
"A6","psapsgpl","sgpl snp","spl unc02","Sample","8.7","41.6%","8244","23","8221","-"
"A6","psapsgpl","sgpl wt","spl unc02","Sample","6.8","47.3%","8246","18","8228","-"
"A7","psapsgpl","psap snp","spl unc03","Sample","85.2","13.2%","8234","218","8016","-"
"A7","psapsgpl","psap wt","spl unc03","Sample","66.6","14.9%","8233","171","8062","-"
"A7","psapsgpl","sgpl snp","spl unc03","Sample","5.4","54%","8234","14","8220","-"
"A7","psapsgpl","sgpl wt","spl unc03","Sample","8.5","42.6%","8232","22","8210","-"
"A8","psapsgpl","psap snp","spl unc04","Sample","101.9","12%","8180","265","7915","-"
"A8","psapsgpl","psap wt","spl unc04","Sample","102.7","11.9%","8177","267","7910","-"
"A8","psapsgpl","sgpl snp","spl unc04","Sample","3.4","68.8%","8160","9","8151","-"
"A8","psapsgpl","sgpl wt","spl unc04","Sample","3.4","68.8%","8178","9","8169","-"
"A9","psapsgpl","psap snp","spl unc05","Sample","147.9","9.9%","8238","383","7855","-"
"A9","psapsgpl","psap wt","spl unc05","Sample","120.4","11%","8233","313","7920","-"
"A9","psapsgpl","sgpl snp","spl unc05","Sample","4.9","56.3%","8236","13","8223","-"
"A9","psapsgpl","sgpl wt","spl unc05","Sample","3.0","73.4%","8239","8","8231","-"
"A10","psapsgpl","psap snp","spl unc06","Sample","110.7","11.5%","8224","287","7937","-"
"A10","psapsgpl","psap wt","spl unc06","Sample","96.2","12.3%","8224","250","7974","-"
"A10","psapsgpl","sgpl snp","spl unc06","Sample","3.4","68.7%","8221","9","8212","-"
"A10","psapsgpl","sgpl wt","spl unc06","Sample","4.9","56.3%","8224","13","8211","-"
"A11","psapsgpl","psap snp","spl unc07","Sample","118.7","11%","8235","311","7924","-"
"A11","psapsgpl","psap wt","spl unc07","Sample","91.2","12.6%","8232","240","7992","-"
"A11","psapsgpl","sgpl snp","spl unc07","Sample","2.2","86%","8231","6","8225","-"
"A11","psapsgpl","sgpl wt","spl unc07","Sample","3.4","68.6%","8235","9","8226","-"
"A12","psapsgpl","psap snp","spl unc08","Sample","156.5","9.8%","7811","388","7423","-"
"A12","psapsgpl","psap wt","spl unc08","Sample","117.9","11.4%","7808","294","7514","-"
"A12","psapsgpl","sgpl snp","spl unc08","Sample","2.8","79.1%","7806","7","7799","-"
"A12","psapsgpl","sgpl wt","spl unc08","Sample","4.3","61.7%","7810","11","7799","-"
"B1","psapsgpl","psap snp","spl epb02","Sample","98.9","12.1%","8260","258","8002","-"
"B1","psapsgpl","psap wt","spl epb02","Sample","85.3","13.1%","8257","223","8034","-"
"B1","psapsgpl","sgpl snp","spl epb02","Sample","3.4","68.8%","8260","9","8251","-"
"B1","psapsgpl","sgpl wt","spl epb02","Sample","4.5","58.8%","8260","12","8248","-"
"B2","psapsgpl","psap snp","spl epb03","Sample","107.1","11.7%","8263","278","7985","-"
"B2","psapsgpl","psap wt","spl epb03","Sample","83.7","13.2%","8259","218","8041","-"
"B2","psapsgpl","sgpl snp","spl epb03","Sample","4.5","58.8%","8259","12","8247","-"
"B2","psapsgpl","sgpl wt","spl epb03","Sample","4.9","56.4%","8263","13","8250","-"
"B3","psapsgpl","psap snp","spl epb04","Sample","148.1","10%","8269","374","7895","-"
"B3","psapsgpl","psap wt","spl epb04","Sample","125.9","10.9%","8266","319","7947","-"
"B3","psapsgpl","sgpl snp","spl epb04","Sample","5.8","52.1%","8258","15","8243","-"
