sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"A1","uncvsir","unc snp","hrt epb02","Sample","7.1","46%","8196","19","8177","-"
"A1","uncvsir","unc wt","hrt epb02","Sample","15.3","30.9%","8189","41","8148","-"
"A1","uncvsir","vsir snp","hrt epb02","Sample","47.6","17.4%","8194","127","8067","-"
"A1","uncvsir","vsir wt","hrt epb02","Sample","56.7","15.9%","8196","151","8045","-"
"A2","uncvsir","unc snp","hrt epb03","Sample","7.2","46.1%","8238","19","8219","-"
"A2","uncvsir","unc wt","hrt epb03","Sample","28.1","22.9%","8225","74","8151","-"
"A2","uncvsir","vsir snp","hrt epb03","Sample","74.0","14%","8238","194","8044","-"
"A2","uncvsir","vsir wt","hrt epb03","Sample","103.1","11.9%","8240","269","7971","-"
"A3","uncvsir","unc snp","hrt epb04","Sample","5.7","52.2%","8233","15","8218","-"
"A3","uncvsir","unc wt","hrt epb04","Sample","16.7","29.8%","8231","44","8187","-"
"A3","uncvsir","vsir snp","hrt epb04","Sample","56.6","16.1%","8231","148","8083","-"
"A3","uncvsir","vsir wt","hrt epb04","Sample","77.4","13.7%","8233","202","8031","-"
"A4","uncvsir","unc snp","hrt epb05","Sample","1.9","95.9%","8239","5","8234","-"
"A4","uncvsir","unc wt","hrt epb05","Sample","12.9","34.1%","8239","34","8205","-"
"A4","uncvsir","vsir snp","hrt epb05","Sample","73.1","14.2%","8238","191","8047","-"
"A4","uncvsir","vsir wt","hrt epb05","Sample","92.2","12.6%","8239","240","7999","-"
"A5","uncvsir","unc snp","hrt epb06","Sample","4.2","61.7%","8229","11","8218","-"
"A5","uncvsir","unc wt","hrt epb06","Sample","13.3","33.6%","8224","35","8189","-"
"A5","uncvsir","vsir snp","hrt epb06","Sample","32.8","21.2%","8220","86","8134","-"
"A5","uncvsir","vsir wt","hrt epb06","Sample","58.5","15.8%","8228","153","8075","-"
"A6","uncvsir","unc snp","hrt unc01","Sample","0.377","274%","8230","1","8229","-"
