sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"A1","psapvsir","psap snp","si epb01","Sample","2.2","86%","8255","6","8249","-"
"A1","psapvsir","psap wt","si epb01","Sample","8.9","40.7%","8248","24","8224","-"
"A1","psapvsir","vsir snp","si epb01","Sample","1.5","109%","8255","4","8251","-"
"A1","psapvsir","vsir wt","si epb01","Sample","0.0","-","8255","0","8255","-"
"A2","psapvsir","psap snp","si epb02","Sample","1.5","109.2%","8249","4","8245","-"
"A2","psapvsir","psap wt","si epb02","Sample","2.3","86.2%","8234","6","8228","-"
"A2","psapvsir","vsir snp","si epb02","Sample","0.377","274.5%","8242","1","8241","-"
"A2","psapvsir","vsir wt","si epb02","Sample","0.0","-","8249","0","8249","-"
"A3","psapvsir","psap snp","si epb03","Sample","0.0","-","8248","0","8248","-"
"A3","psapvsir","psap wt","si epb03","Sample","1.1","130%","8248","3","8245","-"
"A3","psapvsir","vsir snp","si epb03","Sample","0.378","274.3%","8248","1","8247","-"
"A3","psapvsir","vsir wt","si epb03","Sample","0.0","-","8248","0","8248","-"
"A4","psapvsir","psap snp","si epb04","Sample","0.0","-","8251","0","8251","-"
"A4","psapvsir","psap wt","si epb04","Sample","0.756","168.9%","8250","2","8248","-"
"A4","psapvsir","vsir snp","si epb04","Sample","0.0","-","8249","0","8249","-"
"A4","psapvsir","vsir wt","si epb04","Sample","0.0","-","8250","0","8250","-"
"A5","psapvsir","psap snp","si epb05","Sample","0.756","168.8%","8244","2","8242","-"
"A5","psapvsir","psap wt","si epb05","Sample","0.0","-","8241","0","8241","-"
"A5","psapvsir","vsir snp","si epb05","Sample","1.1","130.1%","8242","3","8239","-"
"A5","psapvsir","vsir wt","si epb05","Sample","0.0","-","8245","0","8245","-"
"A6","psapvsir","psap snp","si epb06","Sample","0.753","168.4%","8251","2","8249","-"
"A6","psapvsir","psap wt","si epb06","Sample","0.753","168.4%","8251","2","8249","-"
"A6","psapvsir","vsir snp","si epb06","Sample","0.753","168.4%","8251","2","8249","-"
"A6","psapvsir","vsir wt","si epb06","Sample","0.0","-","8251","0","8251","-"
"A7","psapvsir","psap snp","si unc01","Sample","1.9","95.5%","8249","5","8244","-"
"A7","psapvsir","psap wt","si unc01","Sample","0.0","-","8249","0","8249","-"
"A7","psapvsir","vsir snp","si unc01","Sample","0.770","168.3%","8249","2","8247","-"
"A7","psapvsir","vsir wt","si unc01","Sample","0.0","-","8250","0","8250","-"
"A8","psapvsir","psap snp","si unc02","Sample","0.375","274.9%","8246","1","8245","-"
"A8","psapvsir","psap wt","si unc02","Sample","0.375","274.9%","8246","1","8245","-"
"A8","psapvsir","vsir snp","si unc02","Sample","0.753","168.9%","8223","2","8221","-"
"A8","psapvsir","vsir wt","si unc02","Sample","0.0","-","8241","0","8241","-"
"A9","psapvsir","psap snp","si unc03","Sample","0.377","274.6%","8230","1","8229","-"
"A9","psapvsir","psap wt","si unc03","Sample","0.0","-","8230","0","8230","-"
"A9","psapvsir","vsir snp","si unc03","Sample","0.0","-","8230","0","8230","-"
"A9","psapvsir","vsir wt","si unc03","Sample","0.0","-","8230","0","8230","-"
"A10","psapvsir","psap snp","si unc04","Sample","0.464","274.5%","6725","1","6724","-"
"A10","psapvsir","psap wt","si unc04","Sample","0.464","274.5%","6725","1","6724","-"
"A10","psapvsir","vsir snp","si unc04","Sample","1.4","130%","6721","3","6718","-"
"A10","psapvsir","vsir wt","si unc04","Sample","0.927","168.7%","6725","2","6723","-"
"A11","psapvsir","psap snp","si unc05","Sample","0.753","168.4%","8195","2","8193","-"
"A11","psapvsir","psap wt","si unc05","Sample","0.376","274%","8194","1","8193","-"
"A11","psapvsir","vsir snp","si unc05","Sample","1.1","129.8%","8192","3","8189","-"
"A11","psapvsir","vsir wt","si unc05","Sample","0.0","-","8196","0","8196","-"
"A12","psapvsir","psap snp","si unc06","Sample","1.5","109.2%","8211","4","8207","-"
"A12","psapvsir","psap wt","si unc06","Sample","0.374","274.7%","8214","1","8213","-"
"A12","psapvsir","vsir snp","si unc06","Sample","1.5","109.2%","8205","4","8201","-"
"A12","psapvsir","vsir wt","si unc06","Sample","0.0","-","8216","0","8216","-"
"B1","psapvsir","psap snp","si epb01","Sample","1.1","130.1%","8264","3","8261","-"
"B1","psapvsir","psap wt","si epb01","Sample","2.3","86.3%","8253","6","8247","-"
"B1","psapvsir","vsir snp","si epb01","Sample","0.377","274.7%","8266","1","8265","-"
"B1","psapvsir","vsir wt","si epb01","Sample","0.0","-","8267","0","8267","-"
"B2","psapvsir","psap snp","si epb02","Sample","2.7","79.1%","8259","7","8252","-"
"B2","psapvsir","psap wt","si epb02","Sample","2.7","79.1%","8258","7","8251","-"
"B2","psapvsir","vsir snp","si epb02","Sample","0.758","168.8%","8259","2","8257","-"
"B2","psapvsir","vsir wt","si epb02","Sample","0.0","-","8259","0","8259","-"
"B3","psapvsir","psap snp","si epb03","Sample","0.775","168.3%","8253","2","8251","-"
"B3","psapvsir","psap wt","si epb03","Sample","0.388","274%","8253","1","8252","-"
"B3","psapvsir","vsir snp","si epb03","Sample","0.777","168.3%","8241","2","8239","-"
"B3","psapvsir","vsir wt","si epb03","Sample","0.0","-","8247","0","8247","-"
"B4","psapvsir","psap snp","si epb04","Sample","0.0","-","8272","0","8272","-"
"B4","psapvsir","psap wt","si epb04","Sample","0.0","-","8270","0","8270","-"
"B4","psapvsir","vsir snp","si epb04","Sample","0.0","-","8269","0","8269","-"
"B4","psapvsir","vsir wt","si epb04","Sample","0.0","-","8273","0","8273","-"
"B5","psapvsir","psap snp","si epb05","Sample","1.2","129.9%","8267","3","8264","-"
"B5","psapvsir","psap wt","si epb05","Sample","0.0","-","8266","0","8266","-"
"B5","psapvsir","vsir snp","si epb05","Sample","1.6","109%","8267","4","8263","-"
"B5","psapvsir","vsir wt","si epb05","Sample","0.0","-","8267","0","8267","-"
"B6","psapvsir","psap snp","si epb06","Sample","0.393","274.5%","8201","1","8200","-"
"B6","psapvsir","psap wt","si epb06","Sample","0.393","274.5%","8198","1","8197","-"
"B6","psapvsir","vsir snp","si epb06","Sample","0.393","274.5%","8199","1","8198","-"
"B6","psapvsir","vsir wt","si epb06","Sample","0.0","-","8201","0","8201","-"
"B7","psapvsir","psap snp","si unc01","Sample","1.2","130.2%","8236","3","8233","-"
"B7","psapvsir","psap wt","si unc01","Sample","0.0","-","8235","0","8235","-"
"B7","psapvsir","vsir snp","si unc01","Sample","0.0","-","8236","0","8236","-"
"B7","psapvsir","vsir wt","si unc01","Sample","0.0","-","8236","0","8236","-"
"B8","psapvsir","psap snp","si unc02","Sample","0.397","273.9%","8238","1","8237","-"
"B8","psapvsir","psap wt","si unc02","Sample","0.0","-","8236","0","8236","-"
"B8","psapvsir","vsir snp","si unc02","Sample","0.397","273.9%","8238","1","8237","-"
"B8","psapvsir","vsir wt","si unc02","Sample","0.0","-","8238","0","8238","-"
"B9","psapvsir","psap snp","si unc03","Sample","0.0","-","8248","0","8248","-"
"B9","psapvsir","psap wt","si unc03","Sample","0.779","168.4%","8248","2","8246","-"
"B9","psapvsir","vsir snp","si unc03","Sample","0.389","274.1%","8248","1","8247","-"
"B9","psapvsir","vsir wt","si unc03","Sample","0.0","-","8248","0","8248","-"
"B10","psapvsir","psap snp","si unc04","Sample","0.390","274.2%","8258","1","8257","-"
"B10","psapvsir","psap wt","si unc04","Sample","1.6","109%","8257","4","8253","-"
"B10","psapvsir","vsir snp","si unc04","Sample","0.781","168.5%","8256","2","8254","-"
"B10","psapvsir","vsir wt","si unc04","Sample","0.0","-","8258","0","8258","-"
"B11","psapvsir","psap snp","si unc05","Sample","1.5","109.3%","8268","4","8264","-"
"B11","psapvsir","psap wt","si unc05","Sample","0.386","274.8%","8265","1","8264","-"
"B11","psapvsir","vsir snp","si unc05","Sample","0.386","274.8%","8263","1","8262","-"
"B11","psapvsir","vsir wt","si unc05","Sample","0.0","-","8268","0","8268","-"
"B12","psapvsir","psap snp","si unc06","Sample","0.379","274.1%","8230","1","8229","-"
"B12","psapvsir","psap wt","si unc06","Sample","0.379","274.1%","8228","1","8227","-"
"B12","psapvsir","vsir snp","si unc06","Sample","0.0","-","8229","0","8229","-"
"B12","psapvsir","vsir wt","si unc06","Sample","0.0","-","8230","0","8230","-"
"C1","psapvsir","psap snp","lun epb01","Sample","23.1","25.2%","8251","61","8190","-"
"C1","psapvsir","psap wt","lun epb01","Sample","10.2","38.4%","8236","27","8209","-"
"C1","psapvsir","vsir snp","lun epb01","Sample","1.9","95.7%","8244","5","8239","-"
"C1","psapvsir","vsir wt","lun epb01","Sample","1.9","95.7%","8248","5","8243","-"
"C2","psapvsir","psap snp","lun epb02","Sample","32.6","21.5%","8261","84","8177","-"
"C2","psapvsir","psap wt","lun epb02","Sample","19.4","28%","8255","50","8205","-"
"C2","psapvsir","vsir snp","lun epb02","Sample","3.9","64.9%","8257","10","8247","-"
"C2","psapvsir","vsir wt","lun epb02","Sample","3.9","64.9%","8257","10","8247","-"
"C3","psapvsir","psap snp","lun epb03","Sample","67.9","15%","8268","171","8097","-"
"C3","psapvsir","psap wt","lun epb03","Sample","36.0","20.6%","8264","91","8173","-"
"C3","psapvsir","vsir snp","lun epb03","Sample","7.9","44.9%","8258","20","8238","-"
"C3","psapvsir","vsir wt","lun epb03","Sample","7.5","46.1%","8267","19","8248","-"
"C4","psapvsir","psap snp","lun epb04","Sample","55.1","16.5%","8260","140","8120","-"
"C4","psapvsir","psap wt","lun epb04","Sample","32.2","21.7%","8250","82","8168","-"
"C4","psapvsir","vsir snp","lun epb04","Sample","5.1","56.2%","8253","13","8240","-"
"C4","psapvsir","vsir wt","lun epb04","Sample","7.4","46%","8258","19","8239","-"
"C5","psapvsir","psap snp","lun epb05","Sample","50.3","17.4%","8258","126","8132","-"
"C5","psapvsir","psap wt","lun epb05","Sample","29.1","23%","8253","73","8180","-"
"C5","psapvsir","vsir snp","lun epb05","Sample","2.0","95.5%","8256","5","8251","-"
"C5","psapvsir","vsir wt","lun epb05","Sample","4.0","64.7%","8258","10","8248","-"
"C6","psapvsir","psap snp","lun epb06","Sample","32.8","21.8%","8247","81","8166","-"
"C6","psapvsir","psap wt","lun epb06","Sample","26.3","24.4%","8253","65","8188","-"
"C6","psapvsir","vsir snp","lun epb06","Sample","2.4","86%","8249","6","8243","-"
"C6","psapvsir","vsir wt","lun epb06","Sample","2.4","86%","8255","6","8249","-"
"C7","psapvsir","psap snp","lun unc03","Sample","46.5","18.2%","8260","116","8144","-"
"C7","psapvsir","psap wt","lun unc03","Sample","25.6","24.6%","8256","64","8192","-"
"C7","psapvsir","vsir snp","lun unc03","Sample","6.0","52.2%","8250","15","8235","-"
"C7","psapvsir","vsir wt","lun unc03","Sample","4.4","61.6%","8258","11","8247","-"
"C8","psapvsir","psap snp","lun unc04","Sample","28.8","23.5%","8065","70","7995","-"
