sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"A1","slccdh","cdh snp","si epb01","Sample","0.0","-","8271","0","8271","-"
"A1","slccdh","cdh wt","si epb01","Sample","0.0","-","8274","0","8274","-"
"A1","slccdh","slc snp","si epb01","Sample","1.8","95.5%","8274","5","8269","-"
"A1","slccdh","slc wt","si epb01","Sample","0.739","168.4%","8259","2","8257","-"
"A2","slccdh","cdh snp","si epb02","Sample","0.0","-","8248","0","8248","-"
"A2","slccdh","cdh wt","si epb02","Sample","0.0","-","8249","0","8249","-"
"A2","slccdh","slc snp","si epb02","Sample","4.5","58.8%","8248","12","8236","-"
"A2","slccdh","slc wt","si epb02","Sample","1.9","95.7%","8234","5","8229","-"
"A3","slccdh","cdh snp","si epb03","Sample","0.0","-","8138","0","8138","-"
"A3","slccdh","cdh wt","si epb03","Sample","0.0","-","8138","0","8138","-"
"A3","slccdh","slc snp","si epb03","Sample","0.0","-","8138","0","8138","-"
"A3","slccdh","slc wt","si epb03","Sample","0.383","274.3%","8137","1","8136","-"
"A4","slccdh","cdh snp","si epb04","Sample","0.0","-","8262","0","8262","-"
"A4","slccdh","cdh wt","si epb04","Sample","0.0","-","8263","0","8263","-"
"A4","slccdh","slc snp","si epb04","Sample","0.0","-","8263","0","8263","-"
"A4","slccdh","slc wt","si epb04","Sample","0.0","-","8263","0","8263","-"
"A5","slccdh","cdh snp","si epb05","Sample","0.0","-","8181","0","8181","-"
"A5","slccdh","cdh wt","si epb05","Sample","0.0","-","8181","0","8181","-"
"A5","slccdh","slc snp","si epb05","Sample","1.1","130.1%","8181","3","8178","-"
"A5","slccdh","slc wt","si epb05","Sample","0.763","168.8%","8171","2","8169","-"
"A6","slccdh","cdh snp","si epb06","Sample","0.0","-","8247","0","8247","-"
"A6","slccdh","cdh wt","si epb06","Sample","0.0","-","8247","0","8247","-"
"A6","slccdh","slc snp","si epb06","Sample","0.753","168.4%","8247","2","8245","-"
"A6","slccdh","slc wt","si epb06","Sample","0.0","-","8246","0","8246","-"
"A7","slccdh","cdh snp","si unc01","Sample","0.0","-","8241","0","8241","-"
"A7","slccdh","cdh wt","si unc01","Sample","0.0","-","8241","0","8241","-"
"A7","slccdh","slc snp","si unc01","Sample","0.0","-","8241","0","8241","-"
"A7","slccdh","slc wt","si unc01","Sample","0.0","-","8241","0","8241","-"
"A8","slccdh","cdh snp","si unc02","Sample","0.0","-","8244","0","8244","-"
"A8","slccdh","cdh wt","si unc02","Sample","0.0","-","8249","0","8249","-"
"A8","slccdh","slc snp","si unc02","Sample","0.0","-","8249","0","8249","-"
