sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"A1","slcvsir","slc snp","ob epb01","Sample","37.2","19.6%","8242","100","8142","-"
"A1","slcvsir","slc wt","ob epb01","Sample","42.2","18.4%","8229","113","8116","-"
"A1","slcvsir","vsir snp","ob epb01","Sample","54.2","16.2%","8239","145","8094","-"
"A1","slcvsir","vsir wt","ob epb01","Sample","54.5","16.2%","8242","146","8096","-"
"A2","slcvsir","slc snp","ob epb02","Sample","56.1","16.1%","8274","148","8126","-"
"A2","slcvsir","slc wt","ob epb02","Sample","40.5","19%","8268","107","8161","-"
"A2","slcvsir","vsir snp","ob epb02","Sample","63.0","15.2%","8272","166","8106","-"
"A2","slcvsir","vsir wt","ob epb02","Sample","61.0","15.4%","8274","161","8113","-"
"A3","slcvsir","slc snp","ob epb04","Sample","63.3","15.2%","8252","166","8086","-"
"A3","slcvsir","slc wt","ob epb04","Sample","49.9","17.1%","8250","131","8119","-"
"A3","slcvsir","vsir snp","ob epb04","Sample","80.4","13.5%","8250","210","8040","-"
"A3","slcvsir","vsir wt","ob epb04","Sample","78.8","13.6%","8252","206","8046","-"
"A4","slcvsir","slc snp","ob epb05","Sample","78.4","13.7%","8251","205","8046","-"
"A4","slcvsir","slc wt","ob epb05","Sample","70.3","14.4%","8249","184","8065","-"
"A4","slcvsir","vsir snp","ob epb05","Sample","108.0","11.6%","8252","281","7971","-"
"A4","slcvsir","vsir wt","ob epb05","Sample","103.3","11.9%","8252","269","7983","-"
"A5","slcvsir","slc snp","ob epb06","Sample","78.3","13.6%","8260","205","8055","-"
"A5","slcvsir","slc wt","ob epb06","Sample","68.3","14.6%","8260","179","8081","-"
"A5","slcvsir","vsir snp","ob epb06","Sample","111.8","11.4%","8259","291","7968","-"
"A5","slcvsir","vsir wt","ob epb06","Sample","116.5","11.2%","8260","303","7957","-"
"A6","slcvsir","slc snp","ob unc01","Sample","85.4","13%","8256","224","8032","-"
"A6","slcvsir","slc wt","ob unc01","Sample","58.1","15.8%","8253","153","8100","-"
"A6","slcvsir","vsir snp","ob unc01","Sample","71.2","14.3%","8256","187","8069","-"
"A6","slcvsir","vsir wt","ob unc01","Sample","61.2","15.4%","8257","161","8096","-"
"A7","slcvsir","slc snp","ob unc03","Sample","95.6","12.6%","8090","240","7850","-"
"A7","slcvsir","slc wt","ob unc03","Sample","76.7","14%","8087","193","7894","-"
"A7","slcvsir","vsir snp","ob unc03","Sample","129.4","10.8%","8090","323","7767","-"
"A7","slcvsir","vsir wt","ob unc03","Sample","118.4","11.3%","8090","296","7794","-"
"A8","slcvsir","slc snp","ob unc05","Sample","50.7","17%","8244","134","8110","-"
"A8","slcvsir","slc wt","ob unc05","Sample","54.6","16.3%","8240","144","8096","-"
"A8","slcvsir","vsir snp","ob unc05","Sample","73.9","14%","8216","194","8022","-"
"A8","slcvsir","vsir wt","ob unc05","Sample","64.1","15.1%","8242","169","8073","-"
"A9","slcvsir","slc snp","ob unc06","Sample","46.6","18.7%","7383","110","7273","-"
"A9","slcvsir","slc wt","ob unc06","Sample","29.6","23.5%","7376","70","7306","-"
"A9","slcvsir","vsir snp","ob unc06","Sample","46.6","18.7%","7383","110","7273","-"
"A9","slcvsir","vsir wt","ob unc06","Sample","39.8","20.3%","7383","94","7289","-"
"A10","slcvsir","slc snp","ob unc08","Sample","256.8","7.5%","8259","653","7606","-"
"A10","slcvsir","slc wt","ob unc08","Sample","191.9","8.7%","8258","493","7765","-"
"A10","slcvsir","vsir snp","ob unc08","Sample","313.0","6.8%","8258","789","7469","-"
"A10","slcvsir","vsir wt","ob unc08","Sample","258.0","7.5%","8259","656","7603","-"
"A11","slcvsir","slc snp","ob unc09","Sample","153.7","9.7%","8266","402","7864","-"
"A11","slcvsir","slc wt","ob unc09","Sample","118.6","11%","8266","312","7954","-"
"A11","slcvsir","vsir snp","ob unc09","Sample","199.9","8.5%","8266","519","7747","-"
"A11","slcvsir","vsir wt","ob unc09","Sample","170.2","9.2%","8266","444","7822","-"
"A12","slcvsir","slc snp","ob unc10","Sample","212.1","8.3%","8049","537","7512","-"
"A12","slcvsir","slc wt","ob unc10","Sample","174.2","9.2%","8038","443","7595","-"
"A12","slcvsir","vsir snp","ob unc10","Sample","248.4","7.7%","8048","625","7423","-"
"A12","slcvsir","vsir wt","ob unc10","Sample","242.1","7.8%","8049","610","7439","-"
"B1","slcvsir","slc snp","ob epb01","Sample","40.2","19.1%","8270","106","8164","-"
"B1","slcvsir","slc wt","ob epb01","Sample","30.3","22%","8265","80","8185","-"
"B1","slcvsir","vsir snp","ob epb01","Sample","59.8","15.6%","8269","157","8112","-"
"B1","slcvsir","vsir wt","ob epb01","Sample","62.1","15.3%","8270","163","8107","-"
"B2","slcvsir","slc snp","ob epb02","Sample","74.2","14%","8278","194","8084","-"
"B2","slcvsir","slc wt","ob epb02","Sample","48.8","17.3%","8277","128","8149","-"
"B2","slcvsir","vsir snp","ob epb02","Sample","85.4","13.1%","8277","223","8054","-"
"B2","slcvsir","vsir wt","ob epb02","Sample","88.2","12.9%","8278","230","8048","-"
"B3","slcvsir","slc snp","ob epb04","Sample","51.1","17.1%","8268","131","8137","-"
"B3","slcvsir","slc wt","ob epb04","Sample","33.9","21%","8255","87","8168","-"
"B3","slcvsir","vsir snp","ob epb04","Sample","76.9","13.9%","8255","196","8059","-"
"B3","slcvsir","vsir wt","ob epb04","Sample","64.1","15.2%","8264","164","8100","-"
"B4","slcvsir","slc snp","ob epb05","Sample","93.8","12.7%","8267","238","8029","-"
"B4","slcvsir","slc wt","ob epb05","Sample","84.6","13.3%","8266","215","8051","-"
"B4","slcvsir","vsir snp","ob epb05","Sample","135.7","10.5%","8266","342","7924","-"
"B4","slcvsir","vsir wt","ob epb05","Sample","147.4","10.1%","8267","371","7896","-"
"B5","slcvsir","slc snp","ob epb06","Sample","68.8","14.8%","8265","174","8091","-"
"B5","slcvsir","slc wt","ob epb06","Sample","58.5","16.1%","8263","148","8115","-"
"B5","slcvsir","vsir snp","ob epb06","Sample","113.6","11.5%","8264","285","7979","-"
"B5","slcvsir","vsir wt","ob epb06","Sample","96.6","12.5%","8265","243","8022","-"
"B6","slcvsir","slc snp","ob unc01","Sample","72.6","14.4%","8266","184","8082","-"
"B6","slcvsir","slc wt","ob unc01","Sample","54.3","16.7%","8265","138","8127","-"
"B6","slcvsir","vsir snp","ob unc01","Sample","73.4","14.3%","8265","186","8079","-"
"B6","slcvsir","vsir wt","ob unc01","Sample","60.2","15.8%","8266","153","8113","-"
"B7","slcvsir","slc snp","ob unc03","Sample","98.3","12.4%","8263","249","8014","-"
"B7","slcvsir","slc wt","ob unc03","Sample","80.3","13.7%","8261","204","8057","-"
"B7","slcvsir","vsir snp","ob unc03","Sample","154.1","9.9%","8262","387","7875","-"
"B7","slcvsir","vsir wt","ob unc03","Sample","146.3","10.1%","8263","368","7895","-"
"B8","slcvsir","slc snp","ob unc05","Sample","55.6","16.6%","8248","139","8109","-"
"B8","slcvsir","slc wt","ob unc05","Sample","46.0","18.3%","8244","115","8129","-"
"B8","slcvsir","vsir snp","ob unc05","Sample","69.0","14.9%","8245","172","8073","-"
"B8","slcvsir","vsir wt","ob unc05","Sample","69.4","14.8%","8248","173","8075","-"
"B9","slcvsir","slc snp","ob unc06","Sample","32.8","21.4%","8255","84","8171","-"
"B9","slcvsir","slc wt","ob unc06","Sample","30.1","22.4%","8265","77","8188","-"
"B9","slcvsir","vsir snp","ob unc06","Sample","48.5","17.6%","8266","124","8142","-"
"B9","slcvsir","vsir wt","ob unc06","Sample","46.6","18%","8267","119","8148","-"
"B10","slcvsir","slc snp","ob unc08","Sample","266.2","7.5%","8264","655","7609","-"
"B10","slcvsir","slc wt","ob unc08","Sample","217.8","8.3%","8264","540","7724","-"
"B10","slcvsir","vsir snp","ob unc08","Sample","369.1","6.4%","8264","894","7370","-"
"B10","slcvsir","vsir wt","ob unc08","Sample","330.8","6.7%","8264","806","7458","-"
"B11","slcvsir","slc snp","ob unc09","Sample","159.6","9.7%","8272","404","7868","-"
"B11","slcvsir","slc wt","ob unc09","Sample","125.3","10.9%","8272","319","7953","-"
"B11","slcvsir","vsir snp","ob unc09","Sample","210.3","8.4%","8271","528","7743","-"
"B11","slcvsir","vsir wt","ob unc09","Sample","179.9","9.1%","8272","454","7818","-"
"B12","slcvsir","slc snp","ob unc10","Sample","181.0","8.9%","8260","466","7794","-"
"B12","slcvsir","slc wt","ob unc10","Sample","167.1","9.3%","8260","431","7829","-"
"B12","slcvsir","vsir snp","ob unc10","Sample","251.8","7.6%","8260","641","7619","-"
"B12","slcvsir","vsir wt","ob unc10","Sample","201.9","8.5%","8260","518","7742","-"
"C1","slcvsir","slc snp","bd epb02","Sample","188.7","8.8%","8257","485","7772","-"
"C1","slcvsir","slc wt","bd epb02","Sample","173.9","9.1%","8256","448","7808","-"
"C1","slcvsir","vsir snp","bd epb02","Sample","500.6","5.4%","8257","1225","7032","-"
"C1","slcvsir","vsir wt","bd epb02","Sample","490.9","5.4%","8257","1203","7054","-"
"C2","slcvsir","slc snp","bd epb03","Sample","107.5","11.8%","8259","274","7985","-"
"C2","slcvsir","slc wt","bd epb03","Sample","82.5","13.4%","8259","211","8048","-"
"C2","slcvsir","vsir snp","bd epb03","Sample","323.9","6.8%","8259","798","7461","-"
"C2","slcvsir","vsir wt","bd epb03","Sample","324.7","6.8%","8259","800","7459","-"
"C3","slcvsir","slc snp","bd epb04","Sample","143.3","10.3%","8246","356","7890","-"
"C3","slcvsir","slc wt","bd epb04","Sample","132.7","10.7%","8246","330","7916","-"
"C3","slcvsir","vsir snp","bd epb04","Sample","395.8","6.2%","8245","946","7299","-"
"C3","slcvsir","vsir wt","bd epb04","Sample","386.5","6.3%","8246","925","7321","-"
"C4","slcvsir","slc snp","bd epb05","Sample","57.9","16.1%","8264","147","8117","-"
"C4","slcvsir","slc wt","bd epb05","Sample","53.1","16.8%","8261","135","8126","-"
"C4","slcvsir","vsir snp","bd epb05","Sample","182.9","9%","8265","456","7809","-"
"C4","slcvsir","vsir wt","bd epb05","Sample","179.7","9.1%","8264","448","7816","-"
"C5","slcvsir","slc snp","bd epb06","Sample","120.9","11.2%","8270","300","7970","-"
"C5","slcvsir","slc wt","bd epb06","Sample","100.9","12.3%","8265","251","8014","-"
"C5","slcvsir","vsir snp","bd epb06","Sample","272.3","7.5%","8269","660","7609","-"
"C5","slcvsir","vsir wt","bd epb06","Sample","295.5","7.2%","8270","714","7556","-"
"C6","slcvsir","slc snp","bd unc02","Sample","42.5","19.1%","8274","105","8169","-"
"C6","slcvsir","slc wt","bd unc02","Sample","23.0","26.1%","8265","57","8208","-"
"C6","slcvsir","vsir snp","bd unc02","Sample","102.8","12.3%","8273","252","8021","-"
"C6","slcvsir","vsir wt","bd unc02","Sample","95.4","12.7%","8274","234","8040","-"
"C7","slcvsir","slc snp","bd unc03","Sample","143.8","10.3%","8269","354","7915","-"
"C7","slcvsir","slc wt","bd unc03","Sample","138.0","10.5%","8269","340","7929","-"
"C7","slcvsir","vsir snp","bd unc03","Sample","423.1","6%","8269","999","7270","-"
"C7","slcvsir","vsir wt","bd unc03","Sample","469.9","5.7%","8269","1102","7167","-"
"C8","slcvsir","slc snp","bd unc04","Sample","91.9","12.9%","8264","227","8037","-"
"C8","slcvsir","slc wt","bd unc04","Sample","102.6","12.2%","8263","253","8010","-"
"C8","slcvsir","vsir snp","bd unc04","Sample","228.9","8.2%","8264","554","7710","-"
"C8","slcvsir","vsir wt","bd unc04","Sample","259.8","7.7%","8264","626","7638","-"
"C9","slcvsir","slc snp","bd unc05","Sample","34.1","21.1%","8270","87","8183","-"
"C9","slcvsir","slc wt","bd unc05","Sample","25.0","24.6%","8268","64","8204","-"
"C9","slcvsir","vsir snp","bd unc05","Sample","94.5","12.6%","8270","239","8031","-"
"C9","slcvsir","vsir wt","bd unc05","Sample","120.7","11.1%","8272","304","7968","-"
"C10","slcvsir","slc snp","bd unc06","Sample","178.5","9.2%","8264","442","7822","-"
"C10","slcvsir","slc wt","bd unc06","Sample","142.2","10.3%","8263","354","7909","-"
"C10","slcvsir","vsir snp","bd unc06","Sample","363.6","6.4%","8263","875","7388","-"
"C10","slcvsir","vsir wt","bd unc06","Sample","434.6","5.9%","8264","1035","7229","-"
"C11","slcvsir","slc snp","bd unc07","Sample","151.0","10%","8260","378","7882","-"
"C11","slcvsir","slc wt","bd unc07","Sample","127.4","10.8%","8259","320","7939","-"
"C11","slcvsir","vsir snp","bd unc07","Sample","463.6","5.7%","8257","1106","7151","-"
"C11","slcvsir","vsir wt","bd unc07","Sample","555.7","5.2%","8260","1308","6952","-"
"C12","slcvsir","slc snp","bd unc08","Sample","138.9","10.3%","8244","358","7886","-"
"C12","slcvsir","slc wt","bd unc08","Sample","117.9","11.1%","8244","305","7939","-"
"C12","slcvsir","vsir snp","bd unc08","Sample","414.5","5.9%","8244","1023","7221","-"
"C12","slcvsir","vsir wt","bd unc08","Sample","441.5","5.8%","8244","1085","7159","-"
"D1","slcvsir","slc snp","bd epb02","Sample","213.1","8.3%","8248","545","7703","-"
"D1","slcvsir","slc wt","bd epb02","Sample","182.9","8.9%","8246","470","7776","-"
"D1","slcvsir","vsir snp","bd epb02","Sample","585.8","5%","8247","1413","6834","-"
"D1","slcvsir","vsir wt","bd epb02","Sample","559.1","5.1%","8247","1354","6893","-"
"D2","slcvsir","slc snp","bd epb03","Sample","107.4","11.8%","8243","271","7972","-"
"D2","slcvsir","slc wt","bd epb03","Sample","84.9","13.3%","8240","215","8025","-"
"D2","slcvsir","vsir snp","bd epb03","Sample","303.3","7%","8243","743","7500","-"
"D2","slcvsir","vsir wt","bd epb03","Sample","304.6","7%","8243","746","7497","-"
"D3","slcvsir","slc snp","bd epb04","Sample","175.4","9.3%","8255","434","7821","-"
"D3","slcvsir","slc wt","bd epb04","Sample","137.1","10.5%","8253","341","7912","-"
"D3","slcvsir","vsir snp","bd epb04","Sample","426.2","6%","8254","1015","7239","-"
"D3","slcvsir","vsir wt","bd epb04","Sample","441.9","5.9%","8255","1050","7205","-"
"D4","slcvsir","slc snp","bd epb05","Sample","52.7","17%","8262","132","8130","-"
"D4","slcvsir","slc wt","bd epb05","Sample","36.7","20.5%","8254","92","8162","-"
"D4","slcvsir","vsir snp","bd epb05","Sample","142.9","10.3%","8262","353","7909","-"
"D4","slcvsir","vsir wt","bd epb05","Sample","140.9","10.4%","8262","348","7914","-"
"D5","slcvsir","slc snp","bd epb06","Sample","109.1","11.8%","8264","271","7993","-"
"D5","slcvsir","slc wt","bd epb06","Sample","102.2","12.2%","8263","254","8009","-"
"D5","slcvsir","vsir snp","bd epb06","Sample","320.7","6.9%","8251","770","7481","-"
"D5","slcvsir","vsir wt","bd epb06","Sample","272.0","7.5%","8264","659","7605","-"
"D6","slcvsir","slc snp","bd unc02","Sample","35.6","20.8%","8264","89","8175","-"
"D6","slcvsir","slc wt","bd unc02","Sample","36.0","20.7%","8260","90","8170","-"
"D6","slcvsir","vsir snp","bd unc02","Sample","106.2","12%","8270","263","8007","-"
"D6","slcvsir","vsir wt","bd unc02","Sample","127.2","11%","8272","314","7958","-"
"D7","slcvsir","slc snp","bd unc03","Sample","156.2","10%","8265","378","7887","-"
"D7","slcvsir","slc wt","bd unc03","Sample","144.8","10.4%","8265","351","7914","-"
"D7","slcvsir","vsir snp","bd unc03","Sample","455.3","5.8%","8264","1054","7210","-"
"D7","slcvsir","vsir wt","bd unc03","Sample","484.6","5.7%","8265","1117","7148","-"
"D8","slcvsir","slc snp","bd unc04","Sample","76.1","14.2%","8276","188","8088","-"
"D8","slcvsir","slc wt","bd unc04","Sample","85.5","13.4%","8274","211","8063","-"
"D8","slcvsir","vsir snp","bd unc04","Sample","224.4","8.3%","8273","542","7731","-"
"D8","slcvsir","vsir wt","bd unc04","Sample","232.4","8.1%","8276","561","7715","-"
"D9","slcvsir","slc snp","bd unc05","Sample","33.2","21.6%","8267","83","8184","-"
"D9","slcvsir","slc wt","bd unc05","Sample","27.9","23.5%","8265","70","8195","-"
"D9","slcvsir","vsir snp","bd unc05","Sample","98.0","12.5%","8271","243","8028","-"
"D9","slcvsir","vsir wt","bd unc05","Sample","102.5","12.2%","8271","254","8017","-"
"D10","slcvsir","slc snp","bd unc06","Sample","165.3","9.6%","8261","410","7851","-"
"D10","slcvsir","slc wt","bd unc06","Sample","172.4","9.4%","8261","427","7834","-"
"D10","slcvsir","vsir snp","bd unc06","Sample","375.5","6.3%","8261","902","7359","-"
"D10","slcvsir","vsir wt","bd unc06","Sample","452.4","5.8%","8261","1074","7187","-"
"D11","slcvsir","slc snp","bd unc07","Sample","149.5","10%","8272","375","7897","-"
"D11","slcvsir","slc wt","bd unc07","Sample","105.4","11.9%","8271","266","8005","-"
"D11","slcvsir","vsir snp","bd unc07","Sample","463.2","5.7%","8271","1107","7164","-"
"D11","slcvsir","vsir wt","bd unc07","Sample","533.2","5.3%","8272","1261","7011","-"
"D12","slcvsir","slc snp","bd unc08","Sample","119.1","11.1%","8248","307","7941","-"
"D12","slcvsir","slc wt","bd unc08","Sample","98.2","12.2%","8246","254","7992","-"
"D12","slcvsir","vsir snp","bd unc08","Sample","375.2","6.2%","8248","929","7319","-"
"D12","slcvsir","vsir wt","bd unc08","Sample","389.4","6.1%","8248","962","7286","-"
"E1","slcvsir","slc snp","liv epb02","Sample","232.2","8%","8239","583","7656","-"
"E1","slcvsir","slc wt","liv epb02","Sample","206.8","8.4%","8233","521","7712","-"
"E1","slcvsir","vsir snp","liv epb02","Sample","255.5","7.6%","8237","639","7598","-"
"E1","slcvsir","vsir wt","liv epb02","Sample","229.7","8%","8239","577","7662","-"
"E2","slcvsir","slc snp","liv epb03","Sample","180.7","9.1%","8255","450","7805","-"
"E2","slcvsir","slc wt","liv epb03","Sample","153.6","9.9%","8254","384","7870","-"
"E2","slcvsir","vsir snp","liv epb03","Sample","286.1","7.2%","8255","701","7554","-"
"E2","slcvsir","vsir wt","liv epb03","Sample","268.6","7.5%","8255","660","7595","-"
"E3","slcvsir","slc snp","liv epb04","Sample","156.2","9.8%","8265","388","7877","-"
"E3","slcvsir","slc wt","liv epb04","Sample","123.7","11%","8266","309","7957","-"
"E3","slcvsir","vsir snp","liv epb04","Sample","153.3","9.9%","8265","381","7884","-"
"E3","slcvsir","vsir wt","liv epb04","Sample","184.3","9%","8265","456","7809","-"
"E4","slcvsir","slc snp","liv epb05","Sample","322.0","6.9%","8274","778","7496","-"
"E4","slcvsir","slc wt","liv epb05","Sample","270.2","7.5%","8274","658","7616","-"
"E4","slcvsir","vsir snp","liv epb05","Sample","354.8","6.5%","8273","853","7420","-"
