sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"A1","unccdh","cdh snp","tes epb01","Sample","649.8","4.7%","8183","1570","6613","-"
"A1","unccdh","cdh wt","tes epb01","Sample","2494.4","2.4%","8183","4571","3612","-"
"A1","unccdh","unc snp","tes epb01","Sample","113.5","11.2%","8183","299","7884","-"
"A1","unccdh","unc wt","tes epb01","Sample","112.4","11.3%","8182","296","7886","-"
"A2","unccdh","cdh snp","tes epb03","Sample","1449.6","3.2%","8009","2987","5022","-"
"A2","unccdh","cdh wt","tes epb03","Sample","5387.8","1.7%","8008","6595","1413","-"
"A2","unccdh","unc snp","tes epb03","Sample","240.6","7.9%","8008","597","7411","-"
"A2","unccdh","unc wt","tes epb03","Sample","261.7","7.6%","8006","647","7359","-"
"A3","unccdh","cdh snp","tes epb04","Sample","1599.4","3%","8252","3312","4940","-"
"A3","unccdh","cdh wt","tes epb04","Sample","6092.0","1.5%","8252","7083","1169","-"
"A3","unccdh","unc snp","tes epb04","Sample","256.2","7.5%","8252","651","7601","-"
"A3","unccdh","unc wt","tes epb04","Sample","310.8","6.8%","8252","783","7469","-"
"A4","unccdh","cdh snp","tes epb05","Sample","667.2","4.7%","8267","1593","6674","-"
"A4","unccdh","cdh wt","tes epb05","Sample","2714.6","2.3%","8268","4807","3461","-"
"A4","unccdh","unc snp","tes epb05","Sample","117.6","11.1%","8268","306","7962","-"
"A4","unccdh","unc wt","tes epb05","Sample","114.4","11.3%","8267","298","7969","-"
"A5","unccdh","cdh snp","tes epb06","Sample","664.5","4.7%","8266","1587","6679","-"
"A5","unccdh","cdh wt","tes epb06","Sample","2437.3","2.4%","8266","4484","3782","-"
"A5","unccdh","unc snp","tes epb06","Sample","98.1","12.2%","8266","256","8010","-"
"A5","unccdh","unc wt","tes epb06","Sample","116.0","11.2%","8266","302","7964","-"
"A6","unccdh","cdh snp","tes unc04","Sample","734.0","4.4%","8234","1733","6501","-"
"A6","unccdh","cdh wt","tes unc04","Sample","2825.7","2.3%","8234","4919","3315","-"
"A6","unccdh","unc snp","tes unc04","Sample","131.0","10.5%","8234","340","7894","-"
"A6","unccdh","unc wt","tes unc04","Sample","150.7","9.8%","8234","390","7844","-"
"A7","unccdh","cdh snp","tes unc05","Sample","610.3","4.9%","8247","1442","6805","-"
"A7","unccdh","cdh wt","tes unc05","Sample","2165.4","2.6%","8247","4077","4170","-"
"A7","unccdh","unc snp","tes unc05","Sample","106.1","11.8%","8247","271","7976","-"
"A7","unccdh","unc wt","tes unc05","Sample","120.9","11.1%","8244","308","7936","-"
"A8","unccdh","cdh snp","tes unc06","Sample","633.3","4.8%","8251","1527","6724","-"
"A8","unccdh","cdh wt","tes unc06","Sample","2514.9","2.4%","8254","4592","3662","-"
"A8","unccdh","unc snp","tes unc06","Sample","129.8","10.6%","8253","339","7914","-"
"A8","unccdh","unc wt","tes unc06","Sample","149.2","9.9%","8245","388","7857","-"
"A9","unccdh","cdh snp","tes unc07","Sample","1254.0","3.4%","8257","2743","5514","-"
"A9","unccdh","cdh wt","tes unc07","Sample","5529.4","1.6%","8257","6865","1392","-"
"A9","unccdh","unc snp","tes unc07","Sample","219.7","8.1%","8257","564","7693","-"
"A9","unccdh","unc wt","tes unc07","Sample","258.7","7.5%","8257","660","7597","-"
"A10","unccdh","cdh snp","tes unc08","Sample","1897.9","2.9%","7596","3464","4132","-"
"A10","unccdh","cdh wt","tes unc08","Sample","7812.5","1.6%","5823","5348","475","-"
"A10","unccdh","unc snp","tes unc08","Sample","272.7","7.4%","8143","682","7461","-"
"A10","unccdh","unc wt","tes unc08","Sample","355.7","6.4%","8141","878","7263","-"
"A11","unccdh","cdh snp","tes unc09","Sample","1593.7","3%","8228","3321","4907","-"
"A11","unccdh","cdh wt","tes unc09","Sample","6157.1","1.5%","8228","7111","1117","-"
"A11","unccdh","unc snp","tes unc09","Sample","282.8","7.1%","8228","721","7507","-"
"A11","unccdh","unc wt","tes unc09","Sample","361.8","6.3%","8228","911","7317","-"
"A12","unccdh","cdh snp","ntc","Non Template Control","0.748","168.8%","8215","2","8213","-"
"A12","unccdh","cdh wt","ntc","Non Template Control","0.0","-","8215","0","8215","-"
"A12","unccdh","unc snp","ntc","Non Template Control","0.0","-","8215","0","8215","-"
"A12","unccdh","unc wt","ntc","Non Template Control","0.0","-","8212","0","8212","-"
"B1","unccdh","cdh snp","tes epb01","Sample","668.9","4.7%","8259","1595","6664","-"
"B1","unccdh","cdh wt","tes epb01","Sample","2731.4","2.3%","8260","4821","3439","-"
"B1","unccdh","unc snp","tes epb01","Sample","68.3","14.6%","8260","179","8081","-"
"B1","unccdh","unc wt","tes epb01","Sample","132.2","10.5%","8259","343","7916","-"
"B2","unccdh","cdh snp","tes epb03","Sample","1451.9","3.2%","8242","3060","5182","-"
"B2","unccdh","cdh wt","tes epb03","Sample","5681.1","1.6%","8242","6901","1341","-"
"B2","unccdh","unc snp","tes epb03","Sample","103.4","11.9%","8242","268","7974","-"
"B2","unccdh","unc wt","tes epb03","Sample","291.0","7.1%","8241","732","7509","-"
"B3","unccdh","cdh snp","tes epb04","Sample","1446.0","3.2%","8253","3001","5252","-"
"B3","unccdh","cdh wt","tes epb04","Sample","5988.7","1.6%","8256","6986","1270","-"
"B3","unccdh","unc snp","tes epb04","Sample","131.7","10.6%","8256","333","7923","-"
"B3","unccdh","unc wt","tes epb04","Sample","318.5","6.8%","8252","782","7470","-"
"B4","unccdh","cdh snp","tes epb05","Sample","704.6","4.6%","8259","1627","6632","-"
"B4","unccdh","cdh wt","tes epb05","Sample","2814.4","2.3%","8259","4821","3438","-"
"B4","unccdh","unc snp","tes epb05","Sample","64.0","15.3%","8259","163","8096","-"
"B4","unccdh","unc wt","tes epb05","Sample","124.9","11%","8258","315","7943","-"
"B5","unccdh","cdh snp","tes epb06","Sample","623.1","4.9%","8255","1446","6809","-"
"B5","unccdh","cdh wt","tes epb06","Sample","2487.0","2.5%","8256","4428","3828","-"
"B5","unccdh","unc snp","tes epb06","Sample","62.1","15.6%","8256","157","8099","-"
"B5","unccdh","unc wt","tes epb06","Sample","117.3","11.3%","8256","294","7962","-"
"B6","unccdh","cdh snp","tes unc04","Sample","797.2","4.3%","8234","1804","6430","-"
"B6","unccdh","cdh wt","tes unc04","Sample","2833.6","2.3%","8235","4816","3419","-"
"B6","unccdh","unc snp","tes unc04","Sample","75.6","14.1%","8235","191","8044","-"
"B6","unccdh","unc wt","tes unc04","Sample","154.3","9.9%","8235","385","7850","-"
"B7","unccdh","cdh snp","tes unc05","Sample","550.4","5.2%","8234","1297","6937","-"
"B7","unccdh","cdh wt","tes unc05","Sample","2129.1","2.7%","8234","3991","4243","-"
"B7","unccdh","unc snp","tes unc05","Sample","53.5","16.8%","8234","136","8098","-"
