sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"A1","unc cdh","cdh snp","ob epb01","Sample","11.3","36.3%","8100","30","8070","-"
"A1","unc cdh","cdh wt","ob epb01","Sample","6.0","50.3%","8103","16","8087","-"
"A1","unc cdh","unc snp","ob epb01","Sample","4.5","58.7%","8105","12","8093","-"
"A1","unc cdh","unc wt","ob epb01","Sample","4.5","58.7%","8103","12","8091","-"
"A2","unc cdh","cdh snp","ob epb02","Sample","23.6","25%","8186","62","8124","-"
"A2","unc cdh","cdh wt","ob epb02","Sample","17.9","28.8%","8189","47","8142","-"
"A2","unc cdh","unc snp","ob epb02","Sample","4.9","56.3%","8186","13","8173","-"
"A2","unc cdh","unc wt","ob epb02","Sample","8.0","43.7%","8189","21","8168","-"
"A3","unc cdh","cdh snp","ob epb04","Sample","24.4","24.6%","8194","64","8130","-"
"A3","unc cdh","cdh wt","ob epb04","Sample","20.2","27.1%","8202","53","8149","-"
"A3","unc cdh","unc snp","ob epb04","Sample","15.2","31.3%","8202","40","8162","-"
"A3","unc cdh","unc wt","ob epb04","Sample","19.5","27.6%","8199","51","8148","-"
"A4","unc cdh","cdh snp","ob epb05","Sample","41.6","18.8%","8218","109","8109","-"
"A4","unc cdh","cdh wt","ob epb05","Sample","24.4","24.7%","8216","64","8152","-"
"A4","unc cdh","unc snp","ob epb05","Sample","12.9","34.1%","8215","34","8181","-"
"A4","unc cdh","unc wt","ob epb05","Sample","28.6","22.8%","8213","75","8138","-"
"A5","unc cdh","cdh snp","ob epb06","Sample","27.1","23.4%","8213","71","8142","-"
"A5","unc cdh","cdh wt","ob epb06","Sample","24.0","24.9%","8224","63","8161","-"
"A5","unc cdh","unc snp","ob epb06","Sample","8.7","41.7%","8226","23","8203","-"
"A5","unc cdh","unc wt","ob epb06","Sample","17.5","29.2%","8222","46","8176","-"
"A6","unc cdh","cdh snp","ob unc01","Sample","45.4","17.9%","8204","119","8085","-"
"A6","unc cdh","cdh wt","ob unc01","Sample","39.6","19.2%","8205","104","8101","-"
"A6","unc cdh","unc snp","ob unc01","Sample","15.2","31.3%","8203","40","8163","-"
"A6","unc cdh","unc wt","ob unc01","Sample","22.4","25.6%","8194","59","8135","-"
"A7","unc cdh","cdh snp","ob unc03","Sample","45.1","18.3%","8160","115","8045","-"
"A7","unc cdh","cdh wt","ob unc03","Sample","29.7","22.5%","8158","76","8082","-"
"A7","unc cdh","unc snp","ob unc03","Sample","9.7","39.9%","8162","25","8137","-"
"A7","unc cdh","unc wt","ob unc03","Sample","24.2","25%","8151","62","8089","-"
"A8","unc cdh","cdh snp","ob unc05","Sample","28.2","22.9%","8149","74","8075","-"
"A8","unc cdh","cdh wt","ob unc05","Sample","22.0","25.9%","8170","58","8112","-"
"A8","unc cdh","unc snp","ob unc05","Sample","9.5","40%","8179","25","8154","-"
"A8","unc cdh","unc wt","ob unc05","Sample","12.9","34.1%","8175","34","8141","-"
"A9","unc cdh","cdh snp","ob unc06","Sample","18.6","28.2%","8190","49","8141","-"
"A9","unc cdh","cdh wt","ob unc06","Sample","15.2","31.3%","8193","40","8153","-"
"A9","unc cdh","unc snp","ob unc06","Sample","6.1","50.5%","8192","16","8176","-"
"A9","unc cdh","unc wt","ob unc06","Sample","8.7","41.7%","8188","23","8165","-"
"A10","unc cdh","cdh snp","ob unc08","Sample","106.5","11.8%","8130","273","7857","-"
"A10","unc cdh","cdh wt","ob unc08","Sample","78.8","13.7%","8135","203","7932","-"
"A10","unc cdh","unc snp","ob unc08","Sample","84.3","13.2%","8135","217","7918","-"
"A10","unc cdh","unc wt","ob unc08","Sample","104.9","11.9%","8127","269","7858","-"
"A11","unc cdh","cdh snp","ob unc09","Sample","51.9","16.7%","8212","137","8075","-"
"A11","unc cdh","cdh wt","ob unc09","Sample","50.3","17%","8215","133","8082","-"
"A11","unc cdh","unc snp","ob unc09","Sample","40.4","18.9%","8215","107","8108","-"
"A11","unc cdh","unc wt","ob unc09","Sample","43.1","18.3%","8214","114","8100","-"
"A12","unc cdh","cdh snp","ob unc10","Sample","58.3","15.9%","8086","152","7934","-"
"A12","unc cdh","cdh wt","ob unc10","Sample","42.8","18.6%","8089","112","7977","-"
"A12","unc cdh","unc snp","ob unc10","Sample","47.9","17.5%","8088","125","7963","-"
"A12","unc cdh","unc wt","ob unc10","Sample","61.4","15.5%","8083","160","7923","-"
"B1","unc cdh","cdh snp","ob epb01","Sample","21.3","26.4%","8215","56","8159","-"
"B1","unc cdh","cdh wt","ob epb01","Sample","15.6","31%","8217","41","8176","-"
"B1","unc cdh","unc snp","ob epb01","Sample","8.0","43.8%","8218","21","8197","-"
"B1","unc cdh","unc wt","ob epb01","Sample","7.6","44.9%","8215","20","8195","-"
"B2","unc cdh","cdh snp","ob epb02","Sample","13.3","33.6%","8230","35","8195","-"
"B2","unc cdh","cdh wt","ob epb02","Sample","4.2","61.7%","8241","11","8230","-"
"B2","unc cdh","unc snp","ob epb02","Sample","1.9","95.8%","8241","5","8236","-"
"B2","unc cdh","unc wt","ob epb02","Sample","4.2","61.7%","8236","11","8225","-"
"B3","unc cdh","cdh snp","ob epb04","Sample","27.7","23.3%","8232","71","8161","-"
"B3","unc cdh","cdh wt","ob epb04","Sample","21.0","26.8%","8245","54","8191","-"
"B3","unc cdh","unc snp","ob epb04","Sample","14.4","32.6%","8252","37","8215","-"
"B3","unc cdh","unc wt","ob epb04","Sample","12.0","35.7%","8249","31","8218","-"
"B4","unc cdh","cdh snp","ob epb05","Sample","49.4","17.5%","8247","126","8121","-"
"B4","unc cdh","cdh wt","ob epb05","Sample","41.1","19.2%","8249","105","8144","-"
"B4","unc cdh","unc snp","ob epb05","Sample","16.8","30.2%","8245","43","8202","-"
"B4","unc cdh","unc wt","ob epb05","Sample","28.2","23.2%","8241","72","8169","-"
"B5","unc cdh","cdh snp","ob epb06","Sample","34.3","21%","8241","87","8154","-"
"B5","unc cdh","cdh wt","ob epb06","Sample","24.8","24.8%","8250","63","8187","-"
"B5","unc cdh","unc snp","ob epb06","Sample","8.6","42.6%","8250","22","8228","-"
"B5","unc cdh","unc wt","ob epb06","Sample","18.1","29.1%","8247","46","8201","-"
"B6","unc cdh","cdh snp","ob unc01","Sample","0.391","274.5%","8245","1","8244","-"
"B6","unc cdh","cdh wt","ob unc01","Sample","1.2","130%","8243","3","8240","-"
"B6","unc cdh","unc snp","ob unc01","Sample","61.2","15.7%","8246","155","8091","-"
"B6","unc cdh","unc wt","ob unc01","Sample","98.1","12.4%","8244","247","7997","-"
"B7","unc cdh","cdh snp","ob unc03","Sample","53.3","16.9%","8200","135","8065","-"
"B7","unc cdh","cdh wt","ob unc03","Sample","39.4","19.7%","8201","100","8101","-"
"B7","unc cdh","unc snp","ob unc03","Sample","20.4","27.4%","8195","52","8143","-"
"B7","unc cdh","unc wt","ob unc03","Sample","24.8","24.9%","8192","63","8129","-"
"B8","unc cdh","cdh snp","ob unc05","Sample","27.5","23.7%","8234","69","8165","-"
"B8","unc cdh","cdh wt","ob unc05","Sample","20.7","27.3%","8242","52","8190","-"
"B8","unc cdh","unc snp","ob unc05","Sample","10.3","39%","8241","26","8215","-"
"B8","unc cdh","unc wt","ob unc05","Sample","14.7","32.5%","8233","37","8196","-"
"B9","unc cdh","cdh snp","ob unc06","Sample","18.8","28.5%","8229","48","8181","-"
"B9","unc cdh","cdh wt","ob unc06","Sample","16.0","30.9%","8232","41","8191","-"
"B9","unc cdh","unc snp","ob unc06","Sample","11.3","36.9%","8234","29","8205","-"
"B9","unc cdh","unc wt","ob unc06","Sample","7.0","47.3%","8234","18","8216","-"
"B10","unc cdh","cdh snp","ob unc08","Sample","80.8","13.7%","8245","204","8041","-"
"B10","unc cdh","cdh wt","ob unc08","Sample","63.2","15.5%","8245","160","8085","-"
"B10","unc cdh","unc snp","ob unc08","Sample","51.2","17.2%","8247","130","8117","-"
"B10","unc cdh","unc wt","ob unc08","Sample","71.2","14.6%","8243","180","8063","-"
