sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"A1","uncsgpl","unc snp","si epb01","Sample","7.8","43.6%","8252","21","8231","-"
"A1","uncsgpl","unc wt","si epb01","Sample","4.8","56.2%","8250","13","8237","-"
"A1","uncsgpl","vsir snp","si epb01","Sample","2.6","78.9%","8251","7","8244","-"
"A1","uncsgpl","vsir wt","si epb01","Sample","0.370","274%","8252","1","8251","-"
"A2","uncsgpl","unc snp","si epb02","Sample","6.4","48.9%","8253","17","8236","-"
"A2","uncsgpl","unc wt","si epb02","Sample","5.7","52.2%","8248","15","8233","-"
"A2","uncsgpl","vsir snp","si epb02","Sample","0.376","274.5%","8253","1","8252","-"
"A2","uncsgpl","vsir wt","si epb02","Sample","0.753","168.7%","8253","2","8251","-"
"A3","uncsgpl","unc snp","si epb03","Sample","2.3","86.1%","8251","6","8245","-"
"A3","uncsgpl","unc wt","si epb03","Sample","1.1","130%","8251","3","8248","-"
"A3","uncsgpl","vsir snp","si epb03","Sample","0.378","274.3%","8250","1","8249","-"
"A3","uncsgpl","vsir wt","si epb03","Sample","0.378","274.3%","8251","1","8250","-"
"A4","uncsgpl","unc snp","si epb04","Sample","0.377","274.9%","8269","1","8268","-"
"A4","uncsgpl","unc wt","si epb04","Sample","1.5","109.3%","8268","4","8264","-"
"A4","uncsgpl","vsir snp","si epb04","Sample","0.0","-","8264","0","8264","-"
"A4","uncsgpl","vsir wt","si epb04","Sample","0.0","-","8269","0","8269","-"
"A5","uncsgpl","unc snp","si epb05","Sample","1.1","130.1%","8252","3","8249","-"
"A5","uncsgpl","unc wt","si epb05","Sample","0.756","168.8%","8250","2","8248","-"
"A5","uncsgpl","vsir snp","si epb05","Sample","1.5","109.2%","8252","4","8248","-"
"A5","uncsgpl","vsir wt","si epb05","Sample","0.378","274.7%","8252","1","8251","-"
"A6","uncsgpl","unc snp","si epb06","Sample","0.0","-","8255","0","8255","-"
"A6","uncsgpl","unc wt","si epb06","Sample","0.0","-","8255","0","8255","-"
"A6","uncsgpl","vsir snp","si epb06","Sample","0.0","-","8255","0","8255","-"
"A6","uncsgpl","vsir wt","si epb06","Sample","0.0","-","8255","0","8255","-"
"A7","uncsgpl","unc snp","si unc01","Sample","0.772","168.3%","8229","2","8227","-"
"A7","uncsgpl","unc wt","si unc01","Sample","0.772","168.3%","8229","2","8227","-"
"A7","uncsgpl","vsir snp","si unc01","Sample","0.386","274%","8229","1","8228","-"
"A7","uncsgpl","vsir wt","si unc01","Sample","0.0","-","8229","0","8229","-"
"A8","uncsgpl","unc snp","si unc02","Sample","0.0","-","8260","0","8260","-"
"A8","uncsgpl","unc wt","si unc02","Sample","1.1","130.2%","8255","3","8252","-"
"A8","uncsgpl","vsir snp","si unc02","Sample","0.0","-","8236","0","8236","-"
"A8","uncsgpl","vsir wt","si unc02","Sample","0.375","274.9%","8257","1","8256","-"
"A9","uncsgpl","unc snp","si unc03","Sample","7.5","44.9%","8254","20","8234","-"
"A9","uncsgpl","unc wt","si unc03","Sample","4.1","61.6%","8254","11","8243","-"
"A9","uncsgpl","vsir snp","si unc03","Sample","0.753","168.7%","8254","2","8252","-"
"A9","uncsgpl","vsir wt","si unc03","Sample","0.376","274.6%","8254","1","8253","-"
"A10","uncsgpl","unc snp","si unc04","Sample","8.3","42.7%","8243","22","8221","-"
"A10","uncsgpl","unc wt","si unc04","Sample","12.5","34.6%","8239","33","8206","-"
"A10","uncsgpl","vsir snp","si unc04","Sample","2.3","86.2%","8241","6","8235","-"
"A10","uncsgpl","vsir wt","si unc04","Sample","2.3","86.2%","8246","6","8240","-"
"A11","uncsgpl","unc snp","si unc05","Sample","7.5","44.8%","8265","20","8245","-"
"A11","uncsgpl","unc wt","si unc05","Sample","6.3","48.8%","8264","17","8247","-"
"A11","uncsgpl","vsir snp","si unc05","Sample","2.6","78.9%","8261","7","8254","-"
"A11","uncsgpl","vsir wt","si unc05","Sample","1.1","129.8%","8265","3","8262","-"
"A12","uncsgpl","unc snp","si unc06","Sample","1.9","95.8%","8212","5","8207","-"
"A12","uncsgpl","unc wt","si unc06","Sample","7.5","44.9%","8207","20","8187","-"
